touristPlace,city,latitude,longitude,rating,imageURL,entryFee
Chottanikkara Bhagavathy Temple,Kochi,9.72621,76.523,4.7,https://www.pilgrimaide.com/image/cache/catalog/Blogs/Chottanikkara%20Bhagavathy%20Temple-600x315w.jpg,0
Willingdon Island,Kochi,9.9483,76.2754,4.4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/2d/37/46/willingdon-island.jpg?w=1200&h=-1&s=1,0
Kerala Kathakali Centre,Kochi,9.96614,76.24392,4.5,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcT1PBm7iuHt5EyGOfs6oEWjwi-svV9UCz8uj_HtgOjAoXKwyaMxajHhM6YD_eVTEP2ucS6prB211sTHq89ANA3Ptw,400
Kuzhupilly beach,Kochi,10.1098,76.1872,4.4,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTr9aG8ycEw-LWVyMEby0jZuU_aB9Wptt58prJ2gPaW_-NgeJq-A1HmuXNxWmZP1wCwdTtQJa1LbxBDTyBDqAZ1TQ,0
Mattancherry Palace,Kochi,9.9583,76.2594,4.2,https://lh3.googleusercontent.com/p/AF1QipOns8jkuFGtOUWb5rCwPtL5NG6Qs2lehTSfbvdD=s1360-w1360-h1020,2
Puthuvype Beach,Kochi,9.9986,76.2189,4.3,https://www.google.com/url?sa=i&url=https%3A%2F%2Fdestinotion.com%2Fplace%2Fputhuvype-beach%2F&psig=AOvVaw04jsuerT7L28IcZ1t20_Fl&ust=1677697484240000&source=images&cd=vfe&ved=0CBAQjRxqFwoTCMjT5Kb0uP0CFQAAAAAdAAAAABAD,0
Athirappilly Water Falls,Kochi,10.2851,76.5698,4.6,http://t2.gstatic.com/licensed-image?q=tbn:ANd9GcQMyZc8yT8-R1ttLSKUZjOzKYljZrkzpEWJ2VccmEkTLYXiXpecEhkpr4peFGx1cCin,15
Gateway of India,Mumbai,18.92221245,72.83471867,4.6,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgNNr7D9BRI5x9CZVqBEuz8AQhka4jE-jXmycCwhGmaMGAjugFqbdC1E4xXpOD-0IdD2lIDXP9B5egS8E7oRzDiJc7Sdvdp0BQRxMByMK4goGNqG_PDw1N5YoJAsjGmD6RzGzVvU0fU-aT9sC212GMdwzEJ3KQ9bVP4sNhKS2Q84LsLh&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,0
Sanjay Gandhi National Park,Mumbai,18.9493146,72.81998728,4.3,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgOMyUYLBUqs4y4p9E04CSiG9y7v3-ewyhOlKoQy5iaIpc-_DfFVOocKoteu9nK-FKUWYD2hKLlwBYhUoKdujd478rijUdLiAGhIucurLzbU-CaWCVvLPDYkG3KD1VYS6l1BuiAQeWBVDLg__P4Q2ueyD64OG_mVyNgw7tamIVPWY7Zj&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,60
Dr. Bhau Daji Lad Mumbai City Museum,Mumbai,18.97899397,72.8347402,4.4,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgPH0o8DfwAFRGMcAPJYWnW2y16_iG00Si0Kh7MnEeuicA9jm881Od5R546mmhIXVp4gOChLvRaWACirqOdwbahDDUW6JGkLa4QKfv1mLQk70BdczuG9cOPZJU-eRmm0aTmta82YxkWP9dF_3cesCdRy6Rtbyj5_-Or0y33rA_czdW08&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,100
Elephanta Island,Mumbai,18.96672855,72.93825425,4.4,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgONNjr2klmQBT7QFPSLJpqRaJNxWJqoKCWDnvBE-f2KJmuY7siY59hC8ylLMfT9Ud-ro4U--6BZRcE7MkkMJB2LvXkjBGi2ZKj_HuLqvhyiy_F1-EQ4Q26shyMxSbexWIAaMhlYmUYfNLTEO6IBckLWeF2PoTc7Hq45suqz8l1HmDkw&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,600
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Mumbai,18.92697762,72.83268087,4.6,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgMAsqgd5XUze-x_Tu-Urzu297lIx1fSbH9Ce69VK5fAvFC5Ssnl4kiu3543AELCE-gDxwpQnwvoZpuQnW_gaI8q_k4cbEDZalSyBmp8_8Qh5xg3ODHGFTO6FSpmBGNb_4WBg9SfQ54rCkzDrngrzZSGwq6jpOKVbAZykIZaDsX-WvAk&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,650
Hanging Gardens,Mumbai,18.95669678,72.8049866,4.2,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgOGrGhP7rNlt3-5hGfOppWsdUNNxHaYyjQwKnZLFZ2xSiE2MDNZOaSlUA2P2IOtsY_RociVfqJxAY933-egDN9QZFQEISFky2klRr9RG5qDPwwqmmkx0oA6TzVBe8qfxQ2M8JBbvlQaP8ucxazkNzlEAbDM15RPKy2NOgtdiG2swPyh&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,0
Banganga Tank,Mumbai,18.94623962,72.79352807,4.3,https://lh5.googleusercontent.com/p/AF1QipOmRRdGYj_o4mtm7qQ8aNfPLnXJOEv9qUkcRM0=w408-h306-k-no,0
National Gallery of Modern Art,Mumbai,18.92578762,72.83145733,4.4,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgNOQ72V31fnzhA-WLMi01ZniFbNbQu9qUeyxdd3-bR4-izWjV8DvLqqkXNBF2cEX8c7r0EzefQGiTAZTzSAE9sc4bRB_KSt7BOC0Jad0ykwu9p0K6i7sb5nr1c0Mui8vYtWiHDytF118nbZkgLj3HieLALUBdbK9708cE7CQi1LfZWn&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,500
Kanheri Caves,Mumbai,19.2058661,72.90682894,4.5,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgO2y7PZFG5jm1WJ-pY9QlMccE_iZ57n7yDdNYxC5E29uUKhc4D6H4uX7Y8yfNxg_eCmoZh4IK7ZA1bOQpEi5QK-4EWmwX047yAvyNdlbFvnLgCzhOEuY9-uEj_SgCUxIVHPWj_k8-kZjWufeDR-l1bUGRczcSR3F8Sh1QEan4nltdNc&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,85
Haji Ali Dargah,Mumbai,18.98274292,72.8089155,4.4,https://maps.googleapis.com/maps/api/place/photo?photo_reference=AfLeUgPQESyF8fx_ubBXDnwUB5KQTBtYB1bPHWSVhRa27Iydt95C6bodgHyn8lDOVLpCoFnbZwTQ0os2v_bDdjVVPgeIXHueyr8XdwRD_A82gj5vr0zIE63F1bFnjDVarqHXSTOUwHXql41dwriW0TeglJUW2FaZ8jSlvtZRT9uaaXA4dWuG&maxwidth=1080&key=AIzaSyCfDE8yeku9SoouQbpuIViPPvoCx6ArlYY,0
Mysuru Palace,Mysore ,12.30538,76.65517,4.6,"https://www.google.com/maps/place/Mysore+Palace/@12.305163,76.6551749,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPfJWSYIlowpJvxq-oqexGeJb9jmyb7q-Tr8Sg3!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPfJWSYIlowpJvxq-oqexGeJb9jmyb7q-Tr8Sg3%3Dw203-h152-k-no!7i4000!8i3000!4m6!3m5!1s0x3baf701103f9a1f9:0xc37fbae2a124da0d!8m2!3d12.305163!4d76.6551749!16zL20vMDU2Y2xf#",40
Sand Sculpture Museum,Mysore ,12.295205,76.68187,4.4,"https://www.google.co.in/maps/place/Sand+Museum+Mysore/@12.2949849,76.6819863,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMQb1ramRrAzTaQmeoLqkGG7wGgXFdf3gpqPXIc!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMQb1ramRrAzTaQmeoLqkGG7wGgXFdf3gpqPXIc%3Dw203-h134-k-no!7i4928!8i3264!4m8!3m7!1s0x3baf702a2eb4f7a5:0xa9f4ec7cb24f2031!8m2!3d12.2949849!4d76.6819863!14m1!1BCgwKCC9tLzBwOXh4MAE!16s%2Fg%2F1pp2vcm3h#",50
Sri Chamarajendra Zoological Gardens,Mysore ,12.30261,76.6638,4.5,"https://www.google.co.in/maps/place/Sri+Chamarajendra+Zoological+Gardens/@12.3024092,76.6638194,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMHrlJ1mNLMpIta50sxhdcXCWQbMkIYGFOzM4A2!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMHrlJ1mNLMpIta50sxhdcXCWQbMkIYGFOzM4A2%3Dw203-h152-k-no!7i4000!8i3000!4m6!3m5!1s0x3baf7023040e7795:0xea57334ccb6cbfcb!8m2!3d12.3024092!4d76.6638194!16zL20vMDQ1dmh0#",100
Namdroling Monastery,Mysore ,12.43088,75.966665,4.5,"https://www.google.co.in/maps/place/Namdroling+Monastery+Golden+Temple/@12.4306202,75.9665616,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipP79xpVtCAux0EqVOMwRUKCMyeVQ8KhXBxBEVgT!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP79xpVtCAux0EqVOMwRUKCMyeVQ8KhXBxBEVgT%3Dw203-h152-k-no!7i4032!8i3024!4m6!3m5!1s0x3ba5a760db95df17:0xf81bb0392f364ea7!8m2!3d12.4306328!4d75.9665586!16s%2Fm%2F02x10m5#",0
"Lake Rafting, Varuna Lake",Mysore ,12.274819,76.74532,4.4,10 Best Adventure Activities In Mysore You Must Not Miss | Travel.Earth,1000
"Jeep Safari, Nagarhole Nagarahole Tiger Reserve",Mysore ,12.048742,76.15314,4.4,"https://www.google.co.in/maps/place/Nagarahole+Tiger+Reserve/@12.0314216,76.1206821,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPB077ARMYDK_IbU2hq_8pju_LWa8fCPtFIduxY!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPB077ARMYDK_IbU2hq_8pju_LWa8fCPtFIduxY%3Dw203-h114-k-no!7i5184!8i2920!4m6!3m5!1s0x3ba5ea8fc89ad29b:0xec955245948111ec!8m2!3d12.0485329!4d76.1531401!16zL20vMDk2enpz#",500
"Trekking, Chamundi Hills",Mysore ,12.27762,76.6688,5,"https://www.google.co.in/maps/place/Trekking+point/@12.2773762,76.668753,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOSnZeZ2mIkd7_NlwvKATy8OUwLpH0u3QcqcSu0!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOSnZeZ2mIkd7_NlwvKATy8OUwLpH0u3QcqcSu0%3Dw320-h100-k-no!7i7156!8i2236!4m6!3m5!1s0x3baf6f561fddab07:0x167c1cf9b39af8c4!8m2!3d12.2773762!4d76.668753!16s%2Fg%2F11h5l_99sg#",3199
Brindavan Gardens,Mysore ,12.42205088,76.5728,4.3,"https://www.google.co.in/maps/place/Brindavana+Gardens/@12.4217156,76.5727862,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipP-rRYM4YFxgqZYjeHAsMZatTcjsi1zIX6M8SHw!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP-rRYM4YFxgqZYjeHAsMZatTcjsi1zIX6M8SHw%3Dw203-h152-k-no!7i4000!8i3000!4m14!1m7!3m6!1s0x3baf78e109feca5d:0x915fba7ee0e6b6b2!2sBrindavana+Gardens!8m2!3d12.4217156!4d76.5727862!16s%2Fm%2F02p5s85!3m5!1s0x3baf78e109feca5d:0x915fba7ee0e6b6b2!8m2!3d12.4217156!4d76.5727862!16s%2Fm%2F02p5s85#",50
Hadimba Devi Temple,Manali,32.2489,77.1839,4.6,https://upload.wikimedia.org/wikipedia/commons/e/e5/Hadimba_Devi_Temple%2C_Hidimba_Devi_Temple_Dhungari_Temple_Manali_and_around_vrtmrgmpksk_%2841%29.jpg,0
Museum of Himachal Culture & Folk Art,Manali,32.2461,77.1808,4,https://upload.wikimedia.org/wikipedia/commons/4/46/Museum_Of_Himachal_Culture_%26_Folk_Art%2C_Manali%2C_Kullu%2C_HP_India.jpg,20
Himalayan Nyinmapa Buddhist Monastery,Manali,32.2415,77.1868,4.4,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRNPupJv22EbXxZZ0tsyf-dIZc1UFsYtNOgC5F0nilxiRZsJlTel0_K7ippgDpGc-pjpYA9qJ15xDR2h9aPU4VBzQ,0
Nehru Kund,Manali,32.286,77.1798,4.4,https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcSrxhz-76fTeaSxhNxTN2OuIxM0M7KWWevm6a0OYkInkSRDCCaicw4xYOV6iqY9NC_udfBv9SMv2-keAkHp9Ef9iw,0
Rohtang La,Manali,32.3716,77.2466,4.7,https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSoWRpyHoBHP1fH8D5I8hcYyFLCFuqsARhg-QKHUjNeyI3tePNJCw2JVz9KB7MEEpMCCVfuV1LHcx043JkCXJPV6A,0
Mall Road,Manali,32° 14' ,77° 11',4.5,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTU-ARQvTtEp1Rah6tE85v7JD_KhlwQZv-kddEpHkkr0iSh7DzBObbx801augRlqVg3UJ8BMadO6kz571FkuYUsVA,0
Nicholas Roerich Art Gallery,Manali,32.1167,77.1686,4.2,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcTpu3tDndI4oM0prDIhbYZX5zvckTmLzSBHTvsuutcKk06jx0VDtpO7XtcnyGuIbc4YKKYxV_lyWbXS1R2cNHzPMA,50
The Great Himalayan National Park(office),Manali,31.8918,77.1429,4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3MJkJCKq8kwV_u6MLK6A8SxZpPlrgEvuGRKFqDZCOpurY_r0TnRLHBaqc2tp05VtqiBtGfYRSO_xcufVxJMzhGQ,50
Victoria Memorial,Kolkata,22.5448,88.3426,4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS49ZDltMTJQ6FaQjO33FJjkBhgjDLS5gfw9ojOm9i4y3TnMIzJXyorIe-OxhtaG5Upc9hjJZ5uH4GChvTbCOVFgQ,20
Indian Museum,Kolkata,22.5579,88.3511,4.5,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTEw8Sm63VU1Jla8AbTL0ZHWWLzFWysICOML9IihqbmWJJCmXPe55ndQIQTc8cvEBvIa-ZH38QUyoDwjY-VsRUQIA,10
Howrah Bridge,Kolkata,22.5851,88.3468,4.6,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRxuGiqROABU1Yq0i2PJdWbSPOWbmsAEiAqz8vS3rZ0qgM5Ou1srvc7QLLNtXxTYF4VYP3IK9S4qp7wB_idQ8J7-Q,0
James Prinsep Ghat,Kolkata,22.5553,88.3312,4.5,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSB6SS_hepkv2aNhFW5044fCH9W1mAmYdchGDZ1WmelSMxFjG_HIJw8ja4GNCtVEGchKaYxMYu9b4PHCQr_FRKQxQ,0
Science City,Kolkata,22.5401,88.3961,4.4,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSMhUpoGrkcGRN7B-TBSaFwtJovNB8--hiEpR9fG7klBc3N7YnGbX0Ug6KX9T9BbGXnd9yrM8FYcTva4Y2kmzkJOg,65
M.P. Birla Planetarium,Kolkata,22.5455,88.3473,4.5,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSJGGUVLsobl4qltZTQM4pZErO4UVLS4c0baQM0QH4ICvmmEsSybXzxTibcdrRZNX7Y-J6vT82i2cFT7roJlo3Rww,80
Fort William ,Kolkata,22.5542,88.3359,4.6,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSpc2V69r7g-Cv5XMFfDO1JHJ7r2U2Uf1_SUYDBYqnF5AaGEsRS-k7keiyNB9aRUp12_GGJefuew1bm6FdFftuzvw,0
St. Paul's Cathedral,Kolkata,22.5442,88.3467,4.6,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTEXKLqBXCOrmlgEw9dy0nDx3pGNb0wkDnUtvS9rI8m3hE0EB74FQr5bgzpOMvoNITIvmNPy0922LetwJuUBHhsIQ,0
Belur Math,Kolkata,22.6322,88.3559,4.7,https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQCrARIiqr9qng7FF2p3JQPsPcYXqeq-MSjVfPtdixN8dEamX4-_b3W-PUx5lE7_93rZ6mVWu__4kQPhlirhrtxtA,0
Alipore Zoological Garden,Kolkata,22.537,88.3317,4.3,https://image3.mouthshut.com/images/imagesp/925747434s.jpg,50
India Gate,Delhi,28.6129,77.2295,4.6,https://lh5.googleusercontent.com/p/AF1QipO07jZ1K3-pEDzYJxWR9GsgKs-ILP-kPDP5X_AH=w408-h439-k-no,0
Jama Masjid,Delhi,28.6509,77.2334,4.5,https://lh5.googleusercontent.com/p/AF1QipM6p1r7DPjFr9xXn8tKlKEPfrSUvR8w9GeDJify=w408-h272-k-no,0
Chandni Chowk Market,Delhi,28.6508,77.2304,4.2,https://lh5.googleusercontent.com/p/AF1QipPDX9ZVgBJj_C8OXJBjfQcpQpHJt-LT4l5UObji=w408-h276-k-no,100
Red Fort,Delhi,28.6563,77.2411,4.5,https://lh5.googleusercontent.com/p/AF1QipNDnNhecipuWUsS7x5huSwQD0it-LU_9yVSDOzN=w408-h306-k-no,600
Rashtrapati Bhavan,Delhi,28.6145,77.1993,4.7,https://lh3.googleusercontent.com/gps-proxy/ALm4wwkCw6A3Gw6p6RhKQyspdr_8T0OroE2fOkGouZ-SQ_4aOZzKj-VVk5WkOG1rK6BjfhaoaeoYeLsYBBxDOG8oZw4SqAuFDQmlET2-afFOO6X2xuMUrzoyAvoNtNrNOrk0B0atYYPbCOPatKTW57FAgCHyog9quHpGJ1dCBRZFpkp0_Rh4h7eS_2MLhg=w408-h272-k-no,50
Qutub Minar,Delhi,28.5247,77.1855,4.5,https://lh5.googleusercontent.com/p/AF1QipM_dFgHqM4iyYA3f6UbKhY4WsM3xxz-oCjTWABC=w408-h544-k-no,35
Jantar Mantar,Delhi,28.6272,77.2166,4.1,https://lh5.googleusercontent.com/p/AF1QipMYZbJVmc5nM3kc6ErCUDV4cQS54cCniIxTy4MY=w427-h240-k-no,250
Semmhozi Poonga,Chennai,13.0506,80.2513,4.1,https://lh3.googleusercontent.com/p/AF1QipPHUyaIG04yTQpfhSwyLw9l3yqhDtWa6OE9e1m6=s1360-w1360-h1020,15
Government Museum,Chennai,13.0709,80.2565,4.3,https://lh3.googleusercontent.com/p/AF1QipMLR5_OWviH36lcovAjsrLjT_hq0Mti8r2z3hjX=s1360-w1360-h1020,250
Vivekananda House,Chennai,13.0494,80.2803,4.5,https://lh3.googleusercontent.com/p/AF1QipMBvxxqGQpCDu101Dy-UYuV-Mrg-eA4MwYiUM1q=s1360-w1360-h1020,10
Fort St.George Museum,Chennai,13.0806,80.2875,4.2,https://lh3.googleusercontent.com/p/AF1QipOi1vhSDnAJ3RWV6lqr61tiWBjoZvL3aHYf31OV=s1360-w1360-h1020,300
M.A. Chidambaram Stadium,Chennai,13.0644,80.2791,4.5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/MA_Chidambaram_Stadium_in_the_Night.JPG/450px-MA_Chidambaram_Stadium_in_the_Night.JPG,0
Ramakrishna Mutt Old Temple,Chennai,13.0318,80.2676,4.8,https://trekkerpedia.com/wp-content/uploads/Front-of-Ramakrishna-math-chennai.jpg,0
Marina Beach,Chennai,13.0556,80.2836,4.3,http://t2.gstatic.com/licensed-image?q=tbn:ANd9GcQAV7Me9YRI7zswVLNdPU0Ugk4eCf8hKM9lFo0qmi8Q6xc7fuDmpgFoVEKOiOz43zNK,0
Santhome Cathedral Basilica,Chennai,13.0337,80.2775,4.7,https://lh3.googleusercontent.com/p/AF1QipNkk27_3l_g4tK9xCTAS-MqjDtzL8wxPJ8N0Lch=s1360-w1360-h1020,0
Kapaleeshwarar Temple,Chennai,13.0334,80.2699,4.8,https://www.tamilnadutourism.com/images/chennai/card/kapaleeshwarar-temple.jpg,0
Arulmigu Sri Parthasarathy Perumal Temple,Chennai,13.0538,80.2769,4.7,https://lh3.googleusercontent.com/p/AF1QipPDK64K7MSi5tPUqahN9Y8xX8yLHBYCT0GNaQJB=s1360-w1360-h1020,0
Immaculate Conception Church,Panaji,15.498687,73.829258,4.4,https://www.tourmyindia.com/states/goa/image/our-lady-of-immaculate-conception-church-goa.webp,0
Se Cathedral,Panaji,15.503794,73.912213,4.5,https://www.holidify.com/images/cmsuploads/compressed/pexelsphoto2602998_20200806171104.jpeg,0
Maruti Temple,Panaji,15.490764,73.828274,4.7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/75/74/90/maruti-temple-from-outside.jpg?w=1200&h=-1&s=1,0
Basilica of Bom Jesus,Panaji,15.5011,73.911648,4.5,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1073481062_20190822145857.jpg,0
Aguada Fort,Panaji,15.492355,73.773756,4.2,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1065727913_20190822150731.jpg,0
Deltin Royale,Panaji,15.501322,73.811816,4.3,"https://img.etimg.com/thumb/msid-47658647,width-1200,height-900,imgsize-150608,overlay-etpanache/photo.jpg",3000
Vainguinim Beach,Panaji,15.455681,73.813415,4.3,"https://res.cloudinary.com/thrillophilia/image/upload/c_fill,f_auto,fl_progressive.strip_profile,g_auto,h_600,q_auto,w_auto/v1/filestore/tf8bnmg9rvvsm5gwse67mbvv0g6o_1549271742_shutterstock_136332962.jpg",0
Cabo de Rama Fort,Panaji,15.089033,73.921496,4.4,https://i0.wp.com/www.exploreincrediblegoa.com/blog/wp-content/uploads/2018/06/Cabo-de-Rama.jpg?fit=800%2C531&ssl=1,0
Dona Paula Beach,Panaji,15.454756,73.804465,4,https://www.trawell.in/admin/images/upload/121905580DonaPaula_Beach_Main.jpg,0
Mangrove Boardwalk,Panaji,15.494207,73.83259,4.2,https://i0.wp.com/www.goacoworking.com/wp-content/uploads/2021/05/179423455_106509828172316_7382527664859373752_n.jpg?resize=1024%2C1024&ssl=1,0
